huc8,name,variable,column,trend,p_value,slope_per_year,n_years,significant
12110208,South Laguna Madre,Precipitation (mm/yr),precip_mm,no trend,0.914308620179539,-0.3693141546022708,45,False
12110208,South Laguna Madre,Evapotranspiration (mm/yr),et_mm,no trend,0.852551354898099,-0.15054479292830197,45,False
12110208,South Laguna Madre,Runoff (mm/yr),runoff_mm,no trend,0.8372371873444682,0.14865415783856134,45,False
12110208,South Laguna Madre,Recharge (mm/yr),recharge_mm,no trend,0.645682015976444,-0.26520739652646125,45,False
12110208,South Laguna Madre,P − ET − Q (mm/yr),balance_mm,no trend,0.8833413522999964,-0.1305975669858902,45,False
12110208,South Laguna Madre,Surface soil moisture (m³/m³),soil_moisture_m3m3,no trend,0.6317012739760888,-9.108945811559657e-05,45,False
12110208,South Laguna Madre,Mean temperature (°C),t2_degc,increasing,0.000687628395620532,0.021973871389152556,45,True
13090001,Los Olmos,Precipitation (mm/yr),precip_mm,no trend,0.9921949625764028,-0.017548522217656456,45,False
13090001,Los Olmos,Evapotranspiration (mm/yr),et_mm,no trend,0.3426790958126569,-1.1277136760200197,45,False
13090001,Los Olmos,Runoff (mm/yr),runoff_mm,no trend,0.914308620179539,0.019343336209912635,45,False
13090001,Los Olmos,Recharge (mm/yr),recharge_mm,no trend,0.8988057249271526,-0.06490529139317926,45,False
13090001,Los Olmos,P − ET − Q (mm/yr),balance_mm,no trend,0.9454065347373615,0.0542692064263848,45,False
13090001,Los Olmos,Surface soil moisture (m³/m³),soil_moisture_m3m3,no trend,0.25240331848130193,-0.00024689265907525257,45,False
13090001,Los Olmos,Mean temperature (°C),t2_degc,increasing,0.007572183789693376,0.019581325462815487,45,True
13090002,Lower Rio Grande,Precipitation (mm/yr),precip_mm,no trend,0.9454065347373615,0.08849646595342217,45,False
13090002,Lower Rio Grande,Evapotranspiration (mm/yr),et_mm,no trend,0.7173925102141454,-0.3968157905144477,45,False
13090002,Lower Rio Grande,Runoff (mm/yr),runoff_mm,no trend,0.5638334925047208,0.2858269018530025,45,False
13090002,Lower Rio Grande,Recharge (mm/yr),recharge_mm,no trend,0.8219844440767774,-0.09375281899737409,45,False
13090002,Lower Rio Grande,P − ET − Q (mm/yr),balance_mm,no trend,0.7028245031974558,-0.2257911520900921,45,False
13090002,Lower Rio Grande,Surface soil moisture (m³/m³),soil_moisture_m3m3,no trend,0.617851026234554,-8.850267406967204e-05,45,False
13090002,Lower Rio Grande,Mean temperature (°C),t2_degc,increasing,0.0012039281829079318,0.021046012397108085,45,True
