OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName,index_right,huc8,name,conductivity,temperature,dissolved_oxygen,dissolved_solids,chlorophyll,pH,nitrogen,phosphorus,turbidity,discharge,water_level,geometry
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-10249,RIO GRANDE RIVER 285 METERS SOUTH 30 METERS WEST FROM THE INTERSECTION OF FM ROAD 813/CANTU ROAD AND AVILIA ROAD,River/Stream,,13090002,,,,,26.0312,-97.7278,,,,Interpolation-Photo,NAD83,,,,,,,US,48,061,,,,,,,,,,STORET,1,13090002,Lower Rio Grande,True,True,True,True,True,False,True,True,True,False,False,POINT (-97.7278 26.0312)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13036,NORTH FLOODWAY AT FM 1420,River/Stream,,12110208,,,,,26.3576,-97.5859,,,,Interpolation-Photo,NAD83,,,,,,,US,48,489,,,,,,,,,,STORET,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,POINT (-97.5859 26.3576)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13037,NORTH FLOODWAY AT SH 107,River/Stream,,12110208,,,,,26.2938,-97.9145,,,,Interpolation-Photo,NAD83,,,,,,,US,48,215,,,,,,,,,,STORET,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,POINT (-97.9145 26.2938)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13038,UNNAMED DITCH AT KM 42.7,River/Stream,,12110208,,,,,26.1745,-97.6252,,,,Interpolation-Photo,NAD83,,,,,,,US,48,061,,,,,,,,,,STORET,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,POINT (-97.6252 26.1745)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13039,UNMD DRAIN DTCH SW RANGRVL RD,River/Stream,,12110208,,,,,26.1399,-97.7259,,,,Interpolation-Photo,NAD83,,,,,,,US,48,061,,,,,,,,,,STORET,0,12110208,South Laguna Madre,True,True,True,False,False,False,True,True,False,False,False,POINT (-97.7259 26.1399)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13040,UNMD DRAIN DTCH SE FM800,River/Stream,,12110208,,,,,26.1417,-97.7553,,,,Interpolation-Photo,NAD83,,,,,,,US,48,061,,,,,,,,,,STORET,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,POINT (-97.7553 26.1417)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13041,UNMD DRAIN DTCH S ARROYO COLO,River/Stream,,12110208,,,,,26.1314,-97.7789,,,,Interpolation-Photo,NAD83,,,,,,,US,48,061,,,,,,,,,,STORET,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,POINT (-97.7789 26.1314)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13042,LA FERIA DITCH N OF ARROYO COL,Canal Drainage,,12110208,,,,,26.1272,-97.8392,,,,Interpolation-Photo,NAD83,,,,,,,US,48,061,,,,,,,,,,STORET,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,POINT (-97.8392 26.1272)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13043,UNMD DRAIN DTCH SE FM 2556,River/Stream,,12110208,,,,,26.1225,-97.8363,,,,Interpolation-Photo,NAD83,,,,,,,US,48,061,,,,,,,,,,STORET,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,POINT (-97.8363 26.1225)
TCEQMAIN,Texas Commission on Environmental Quality,TCEQMAIN-13044,UNMD DRAIN DTCH NW FM 2556,River/Stream,,12110208,,,,,26.1181,-97.8511,,,,Interpolation-Photo,NAD83,,,,,,,US,48,061,,,,,,,,,,STORET,0,12110208,South Laguna Madre,False,False,False,False,False,False,False,False,False,False,False,POINT (-97.8511 26.1181)
