monitoring_location_id,datetime,characteristic,parameter_code,value,unit,fraction,detection_condition,qualifier,lab_name,priority_group,huc8
TCEQMAIN-10249,2001-01-04,Ammonia,,0.14,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2002-12-17,Ammonia,,0.16,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2003-10-30,Ammonia,,0.25,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-01-29,Ammonia,,0.49,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-04-19,Ammonia,,0.55,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-08-04,Ammonia,,0.16,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2004-10-25,Ammonia,,0.41,mg/L,,,,,nitrogen,13090002
TCEQMAIN-10249,2005-04-11,Ammonia-nitrogen,,0.16,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2005-11-15,Ammonia-nitrogen,,0.75,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2006-01-30,Ammonia-nitrogen,,0.38,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2006-04-13,Ammonia-nitrogen,,0.15,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2006-08-09,Ammonia-nitrogen,,0.29,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2006-11-07,Ammonia-nitrogen,,0.81,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2007-02-08,Ammonia-nitrogen,,1.79,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2007-04-17,Ammonia-nitrogen,,0.35,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2007-08-01,Ammonia-nitrogen,,0.13,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2007-10-18,Ammonia-nitrogen,,0.06,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2008-02-12,Ammonia-nitrogen,,0.31,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2010-02-10,Ammonia-nitrogen,,1.13,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2010-05-25,Ammonia-nitrogen,,0.06,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2010-06-07,Ammonia-nitrogen,,0.07,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2013-08-29,Ammonia-nitrogen,,0.07,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2014-11-24,Ammonia-nitrogen,,0.16,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2015-08-31,Ammonia-nitrogen,,0.0421,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2017-02-08,Ammonia-nitrogen,,0.09,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2017-11-29,Ammonia-nitrogen,,0.09,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2018-01-30,Ammonia-nitrogen,,0.15,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2018-10-16,Ammonia-nitrogen,,0.1,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2020-11-17,Ammonia-nitrogen,,0.11,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2021-03-09,Ammonia-nitrogen,,0.17,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2022-05-18,Ammonia-nitrogen,,0.1,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2023-07-31,Ammonia-nitrogen,,0.0738,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2024-01-31,Ammonia-nitrogen,,0.15,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2024-05-23,Ammonia-nitrogen,,0.08,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2024-07-31,Ammonia-nitrogen,,0.12,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2025-07-15,Ammonia-nitrogen,,0.12,mg/L,Total,,,,nitrogen,13090002
TCEQMAIN-10249,2005-04-11,Chlorophyll a,,18.7,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2005-08-04,Chlorophyll a,,37.9,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2006-04-13,Chlorophyll a,,5.36,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2007-08-01,Chlorophyll a,,4.38,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2007-10-18,Chlorophyll a,,3.97,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2008-06-26,Chlorophyll a,,5.85,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2009-05-26,Chlorophyll a,,7.68,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2009-08-18,Chlorophyll a,,4.7,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2010-02-10,Chlorophyll a,,4.88,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2010-05-25,Chlorophyll a,,19.5,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2010-06-07,Chlorophyll a,,95.4,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2010-11-30,Chlorophyll a,,64.5,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2011-02-17,Chlorophyll a,,43.1,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2011-05-26,Chlorophyll a,,41.5,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2011-07-13,Chlorophyll a,,53.7,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2011-11-02,Chlorophyll a,,48.3,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2012-02-22,Chlorophyll a,,87.7,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2012-05-30,Chlorophyll a,,74.2,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2012-08-22,Chlorophyll a,,91.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2012-11-28,Chlorophyll a,,136.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2013-06-19,Chlorophyll a,,115.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2013-08-29,Chlorophyll a,,87.1,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2013-11-12,Chlorophyll a,,134.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2014-04-08,Chlorophyll a,,18.5,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2014-07-02,Chlorophyll a,,54.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2014-08-25,Chlorophyll a,,62.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2014-11-24,Chlorophyll a,,25.2,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2015-08-31,Chlorophyll a,,64.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2015-11-30,Chlorophyll a,,24.6,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2016-04-06,Chlorophyll a,,67.8,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2016-08-04,Chlorophyll a,,69.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2016-11-02,Chlorophyll a,,81.8,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2017-02-08,Chlorophyll a,,4.09,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2017-05-03,Chlorophyll a,,2.08,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2017-07-25,Chlorophyll a,,16.3,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2017-11-29,Chlorophyll a,,1.96,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2018-01-30,Chlorophyll a,,7.29,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2018-04-18,Chlorophyll a,,38.8,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2018-07-18,Chlorophyll a,,6.89,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2018-10-16,Chlorophyll a,,5.79,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2019-01-23,Chlorophyll a,,10.8,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2019-04-16,Chlorophyll a,,5.45,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2019-08-06,Chlorophyll a,,4.92,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2019-11-07,Chlorophyll a,,2.69,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2020-11-17,Chlorophyll a,,2.7,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2021-03-09,Chlorophyll a,,4.36,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2021-06-15,Chlorophyll a,,13.0,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2021-10-05,Chlorophyll a,,1.92,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2021-12-13,Chlorophyll a,,0.72,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2022-05-18,Chlorophyll a,,3.55,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2022-11-16,Chlorophyll a,,1.72,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2023-07-31,Chlorophyll a,,7.69,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2024-01-31,Chlorophyll a,,3.12,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2024-05-23,Chlorophyll a,,11.8,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2024-07-31,Chlorophyll a,,16.5,ug/L,,,,,chlorophyll,13090002
TCEQMAIN-10249,2025-07-15,Chlorophyll a,,81.0,ug/L,,,,,chlorophyll,13090002
