monitoring_location_id,priority_group,trend,p,slope,intercept,n,data_type,significant
8631901,water_level,increasing,0.018741136789596657,0.30249999999999255,182.09125000000003,8,water_level,True
8631902,water_level,insufficient,,,,1,water_level,False
8632101,water_level,insufficient,,,,1,water_level,False
8632201,water_level,insufficient,,,,1,water_level,False
8632202,water_level,insufficient,,,,1,water_level,False
8632203,water_level,insufficient,,,,1,water_level,False
8632301,water_level,no trend,0.22067136191984682,3.9775000000000063,350.765,5,water_level,False
8632302,water_level,insufficient,,,,1,water_level,False
8632401,water_level,insufficient,,,,1,water_level,False
8632402,water_level,insufficient,,,,1,water_level,False
8632403,water_level,insufficient,,,,0,water_level,False
8632601,water_level,insufficient,,,,1,water_level,False
8632602,water_level,no trend,0.7105230229164894,0.394999999999996,294.5625,8,water_level,False
8632603,water_level,insufficient,,,,1,water_level,False
8632604,water_level,insufficient,,,,1,water_level,False
8632605,water_level,no trend,0.7105230229164894,0.13200000000000073,191.46300000000002,8,water_level,False
8632801,water_level,insufficient,,,,1,water_level,False
8632901,water_level,insufficient,,,,1,water_level,False
8632903,water_level,insufficient,,,,1,water_level,False
8632904,water_level,insufficient,,,,1,water_level,False
8632905,water_level,insufficient,,,,1,water_level,False
8632906,water_level,insufficient,,,,3,water_level,False
8640201,water_level,no trend,0.9015386266571279,0.190000000000002,184.05999999999997,8,water_level,False
8640202,water_level,no trend,0.9169652366288645,0.07214285714285852,198.99142857142857,9,water_level,False
8640203,water_level,insufficient,,,,1,water_level,False
8640301,water_level,insufficient,,,,1,water_level,False
8640501,water_level,insufficient,,,,1,water_level,False
8640502,water_level,no trend,1.0,-0.03714285714285787,196.37,8,water_level,False
8640601,water_level,insufficient,,,,1,water_level,False
8640701,water_level,insufficient,,,,1,water_level,False
8640702,water_level,insufficient,,,,1,water_level,False
8640703,water_level,insufficient,,,,1,water_level,False
8640901,water_level,no trend,1.0,0.002499999999990621,211.17000000000004,9,water_level,False
8709801,water_level,insufficient,,,,1,water_level,False
8709901,water_level,insufficient,,,,1,water_level,False
8709902,water_level,insufficient,,,,1,water_level,False
8709903,water_level,insufficient,,,,1,water_level,False
8709904,water_level,insufficient,,,,1,water_level,False
8710402,water_level,no trend,0.20012811767860228,0.549999999999983,410.0900000000001,13,water_level,False
